,Date,Symbol,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
72442,2016-08-05,AAPL,106.27,107.65,106.18,107.48,40553402.0,0.0,1.0,104.41551056406,105.77142855201001,104.32708113007,105.60439517667999,40553402.0
72930,2016-08-08,AAPL,107.52,108.37,107.16,108.37,28037220.0,0.0,1.0,105.64369714734,106.47886402396999,105.28997941136,106.47886402396999,28037220.0
73418,2016-08-09,AAPL,108.23,108.94,108.01,108.81,26315204.0,0.0,1.0,106.34130712665001,107.03891710594999,106.12514628798999,106.91118570129,26315204.0
73906,2016-08-10,AAPL,108.71,108.9,107.76,108.0,24008505.0,0.0,1.0,106.81293077463002,106.99961513528,105.87950897133001,106.11532079532,24008505.0
74394,2016-08-11,AAPL,108.52,108.93,107.85,107.93,27484506.0,0.0,1.0,106.62624641397,107.02909161328002,105.96793840533,106.04654234666,27484506.0
74882,2016-08-12,AAPL,107.78,108.44,107.78,108.18,18660434.0,0.0,1.0,105.89915995667,106.54764247263999,105.89915995667,106.29217966331998,18660434.0
75370,2016-08-15,AAPL,108.14,109.54,108.08,109.48,25868209.0,0.0,1.0,106.25287769264999,107.62844666592,106.19392473665,107.56949370993,25868209.0
75858,2016-08-16,AAPL,109.63,110.23,109.21,109.38,33794448.0,0.0,1.0,107.71687609991999,108.30640565989,107.30420540794,107.47123878326,33794448.0
76346,2016-08-17,AAPL,109.1,109.37,108.34,109.22,25355976.0,0.0,1.0,107.19612498861,107.46141329059999,106.44938754598,107.31403090059999,25355976.0
76834,2016-08-18,AAPL,109.23,109.6,109.02,109.08,21984703.0,0.0,1.0,107.32385639326999,107.68739962192,107.11752104728001,107.17647400328,21984703.0
77322,2016-08-19,AAPL,108.77,109.69,108.36,109.36,25368072.0,0.0,1.0,106.87188373062,107.77582905591998,106.46903853131,107.45158779793002,25368072.0
77810,2016-08-22,AAPL,108.86,109.1,107.85,108.51,25820230.0,0.0,1.0,106.96031316462,107.19612498861,105.96793840533,106.61642092129999,25820230.0
78298,2016-08-23,AAPL,108.59,109.32,108.53,108.85,21257669.0,0.0,1.0,106.69502486263,107.41228582727,106.63607190663001,106.95048767195,21257669.0
78786,2016-08-24,AAPL,108.565,108.75,107.68,108.03,23675081.0,0.0,1.0,106.67046113097,106.85223274529,105.80090503,106.14479727332,23675081.0
79274,2016-08-25,AAPL,107.39,107.88,106.68,107.57,25086248.0,0.0,1.0,105.51596574268,105.99741488333,104.81835576338001,105.69282461068,25086248.0
79762,2016-08-26,AAPL,107.41,107.95,106.31,106.94,27766291.0,0.0,1.0,105.53561672802,106.06619333199,104.45481253473,105.0738185727,27766291.0
80250,2016-08-29,AAPL,106.62,107.44,106.29,106.82,24970300.0,0.0,1.0,104.75940280738001,105.56509320601,104.43516154940001,104.95591266071,24970300.0
80738,2016-08-30,AAPL,105.8,106.5,105.5,106.0,24863945.0,0.0,1.0,103.95371240875,104.64149689538999,103.65894762875999,104.15022226208,24863945.0
81226,2016-08-31,AAPL,105.66,106.5699,105.64,106.1,29662406.0,0.0,1.0,103.81615551142,104.71017708913,103.79650452609002,104.24847718874001,29662406.0
